Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,embryo_type,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,embryo_type_in_silico,methods,antibody,Developmental_Stage,tissue,need
SRR35669965,ChIP-Seq,222,6189705432,PRJNA1336237,SAMN52066037,1917944022,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",AG,SRX30721658,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269047,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:25:00Z,1,GSM9269047,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,1
SRR35669966,ChIP-Seq,222,5169565482,PRJNA1336237,SAMN52066038,1600008617,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",AG,SRX30721657,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269046,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:24:00Z,1,GSM9269046,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,1
SRR35669967,ChIP-Seq,222,6334265616,PRJNA1336237,SAMN52066039,1958091607,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",PG,SRX30721656,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269045,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:24:00Z,1,GSM9269045,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,1
SRR35669968,ChIP-Seq,222,5243109864,PRJNA1336237,SAMN52066040,1615129227,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",PG,SRX30721655,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269044,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:24:00Z,1,GSM9269044,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,1
SRR35669969,ChIP-Seq,222,5579095098,PRJNA1336237,SAMN52066041,1735677259,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2PN,SRX30721654,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269043,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:23:00Z,1,GSM9269043,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,1
SRR35669970,ChIP-Seq,222,4777434006,PRJNA1336237,SAMN52066042,1477734048,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2PN,SRX30721653,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269042,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:23:00Z,1,GSM9269042,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,1
SRR24442068,RNA-Seq,302,1750328580,PRJNA967384,SAMN34590195,750612477,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2PN,SRX20229477,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299854,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:20:00Z,1,GSM7299854,a single two cell embryo,SRP436012,JF1/MsxC57BL/6,2PN,RNA-seq,,,,1
SRR24442069,RNA-Seq,302,1867028024,PRJNA967384,SAMN34590196,781827784,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2PN,SRX20229476,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299853,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:24:00Z,1,GSM7299853,a single two cell embryo,SRP436012,JF1/MsxC57BL/6,2PN,RNA-seq,,,,1
SRR24442070,RNA-Seq,302,2028723656,PRJNA967384,SAMN34590197,843670043,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2PN,SRX20229475,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299852,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:19:00Z,1,GSM7299852,a single two cell embryo,SRP436012,JF1/MsxC57BL/6,Low quality,RNA-seq,,,,0
SRR24442071,RNA-Seq,302,1770263298,PRJNA967384,SAMN34590198,764064769,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2PN,SRX20229474,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299851,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:19:00Z,1,GSM7299851,a single two cell embryo,SRP436012,JF1/MsxC57BL/6,2PN,RNA-seq,,,,1
