Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,create_date,version,chip_antibody,chip_antibody_vendor,tissue/cell_type,Developmental_Stage,,need
SRR3105407,ChIP-Seq,252,7857760932,PRJNA309055,SAMN04419964,3763052265,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533824,GSM2041075,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041075,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-01-18T10:07:00Z,1,H3K27Me3,Diagenode,Preimplantation embryo,,,1
SRR3105408,ChIP-Seq,202,35511158832,PRJNA309055,SAMN04419965,21748151613,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533825,GSM2041076,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041076,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-01-18T13:13:00Z,1,H3K27Me3,Diagenode,Preimplantation embryo,,,1
SRR3105425,ChIP-Seq,252,13306837320,PRJNA309055,SAMN04419974,5747254765,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533834,GSM2041085,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041085,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-01-18T10:18:00Z,1,H3K27Me3,Diagenode,Preimplantation embryo,,,1
SRR3105426,ChIP-Seq,202,2228754678,PRJNA309055,SAMN04419975,1226151675,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533835,GSM2041086,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041086,Embryonic stem cell,SRP068549,R1,2016-01-18T09:59:00Z,1,H3K27Me3,Diagenode,Embryonic stem cell,,,1
SRR3105427,ChIP-Seq,252,809172504,PRJNA309055,SAMN04419975,296229500,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533835,GSM2041086,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041086,Embryonic stem cell,SRP068549,R1,2016-01-18T09:56:00Z,1,H3K27Me3,Diagenode,Embryonic stem cell,,,0
SRR3105428,ChIP-Seq,51,2577092424,PRJNA309055,SAMN04419975,1301872184,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533835,GSM2041086,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041086,Embryonic stem cell,SRP068549,R1,2016-01-18T10:05:00Z,1,H3K27Me3,Diagenode,Embryonic stem cell,,,0
SRR3105429,ChIP-Seq,51,1852006860,PRJNA309055,SAMN04419977,928979661,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533836,GSM2041087,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041087,Embryonic stem cell,SRP068549,R1,2016-01-18T10:03:00Z,1,H3K27Me3,Diagenode,Embryonic stem cell,,,0
SRR3105430,ChIP-Seq,252,4090499028,PRJNA309055,SAMN04419977,1545554593,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533836,GSM2041087,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041087,Embryonic stem cell,SRP068549,R1,2016-01-18T10:06:00Z,1,H3K27Me3,Diagenode,Embryonic stem cell,,,0
SRR3105431,ChIP-Seq,202,16333609506,PRJNA309055,SAMN04419978,7122744693,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533837,GSM2041088,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041088,primordial germ cell,SRP068549,C57BL/6N,2016-01-18T10:34:00Z,1,H3K27Me3,Diagenode,primordial germ cell,,,1
SRR3105436,ChIP-Seq,51,1799362569,PRJNA309055,SAMN04419982,902446092,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533841,GSM2041092,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041092,Somatic cortex,SRP068549,C57BL/6N,2016-01-18T09:55:00Z,1,H3K27Me3,Diagenode,Somatic cortex,,,0
